,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,time,TEC_new
0,E03,18600116.8767783,-13414228.693178466,18713172.42472455,-629.1785774821769,1767.48479410716,1894.0246872647608,-0.0004277482512407,24886681.607,E,2021-05-06 00:00:00,5.35337997889328
1,E09,2976356.973145591,25072359.43084268,15472830.374161031,-452.8105002586405,1482.7592485762548,-2315.693112232289,0.00567760510603,24889672.371,E,2021-05-06 00:00:00,7.730154690737078
2,E36,25064844.23646824,4744852.509413471,-15024568.86790178,-1503.8653147222792,181.14813493169535,-2450.2176351755315,-0.0002031371113844,28378517.368,E,2021-05-06 00:00:00,10.961927836671284
3,E03,18414724.68934669,-12873915.07117088,19268305.22432825,-606.1892966629744,1834.166363115752,1806.4345438408463,-0.0004277494961115,24804234.659,E,2021-05-06 00:05:00,6.818633044318767
4,E09,2848797.1754871234,25508652.19341185,14767594.041490402,-397.9436556287951,1425.2399625024116,-2385.341208578213,0.0056776012818889,25007140.043,E,2021-05-06 00:05:00,10.31870909401346
5,E13,-6373003.003672482,-14990795.022817755,24716205.06980228,2422.439253901911,-544.1093300341261,295.5695448263684,0.0004159960366223,28113054.457,E,2021-05-06 00:05:00,14.084370077546234
6,E03,18236744.303560987,-12314003.26784154,19796783.53904452,-579.7901580366777,1898.10543532518,1716.3491725677266,-0.0004277508705854,24723889.875,E,2021-05-06 00:10:00,8.46673422417866
7,E09,2737367.0827804664,25927139.3081433,14041955.165522529,-345.3143312249408,1364.0802948772248,-2451.694601770733,0.005677597422618,25125190.833,E,2021-05-06 00:10:00,13.425324006426507
8,E13,-5647203.156079598,-15163110.2615473,24787765.71604481,2415.423607911248,-604.5222503775094,181.4465734462748,0.0004159964155406,27989245.673,E,2021-05-06 00:10:00,17.67797390543601
9,E36,24123450.424700502,4885518.083684799,-16451815.958291464,-1631.589402552857,289.4588599178005,-2305.079156812116,-0.0002031401894555,28738554.807,E,2021-05-06 00:10:00,19.2237888435997
10,E03,18067176.754524317,-11735346.587610245,20297877.58727665,-550.129589098354,1959.0982589313037,1623.893317089725,-0.0004277521154562,24645634.578,E,2021-05-06 00:15:00,10.270989221074757
