,time,E,N,U,Az,El,Dist
0,2021-07-10 00:00:00,-0.07532599169508877,-0.5095811060331918,1.2324001174492136,8.408538810361152,67.31605809457415,0.5151183443160025
1,2021-07-10 00:05:00,-0.12099666236051304,-0.7169141536443318,1.6639984724413808,9.57977493587985,66.39797710110223,0.7270530214488847
2,2021-07-10 00:10:00,-0.03277987504179852,-0.4420498327799713,1.2670456970175497,4.2409636045407355,70.71810964880004,0.4432635501240278
3,2021-07-10 00:15:00,-0.08175565225935622,-0.7476384248186765,1.547544508364429,6.2406041852682375,64.08059023337356,0.7520952073652009
4,2021-07-10 00:20:00,0.12923621523804293,-0.5572566607211634,0.6137283947109053,-13.056933185121807,47.01321917448544,0.5720463139005054
5,2021-07-10 00:25:00,0.30534655653706916,-0.28260819123168346,1.140654152286148,-47.21473409997159,69.96038253070616,0.4160575793568594
6,2021-07-10 00:30:00,0.20381973838273548,-0.7485252622477253,0.10587161980197118,-15.232067150550458,7.771228906705377,0.7757786758975995
7,2021-07-10 00:35:00,0.23537253858013027,-0.7173663358132079,-0.5706944062311441,-18.16499820627156,-37.085396261621845,0.7549931732643169
8,2021-07-10 00:40:00,0.9419770460382554,0.13736578897539858,-0.7709721576652869,81.70320425530053,-39.00386011943909,0.9519401846984878
9,2021-07-10 00:45:00,1.012142369840169,-0.09520017616719456,-1.445475871484495,-84.62667710635827,-54.88110725660549,1.016609684376427
10,2021-07-10 00:50:00,1.2065303889283232,-0.15210016891584655,-2.4021593055046315,-82.81496100961526,-63.14944044407649,1.2160797838923891
11,2021-07-10 00:55:00,1.673675574053576,-0.4807270410701001,-3.1049962887913507,-73.97443488074367,-60.715381937377856,1.741346724578302
12,2021-07-10 01:00:00,1.797199873846437,-0.36404400914871937,-4.493667739293558,-78.54900336456464,-67.80144177110736,1.8336999283281663
13,2021-07-10 01:05:00,1.905203864129755,-0.8185609899281383,-5.981637227498037,-66.74947164062078,-70.88051098580655,2.073606485842259
14,2021-07-10 01:10:00,2.164647206253833,-1.2626235721391907,-7.657327533654799,-59.74528690085624,-71.87853476261914,2.5059760199299705
15,2021-07-10 01:15:00,2.4884134454924123,-1.4373705217672192,-9.368100417214851,-59.98818354045882,-72.94632665117892,2.8737145809131404
16,2021-07-10 01:20:00,2.46437566241235,-2.685991045284097,-14.128117542519885,-42.53613694318374,-75.53250704392381,3.645229114999037
17,2021-07-10 01:25:00,2.712653732916509,-3.7023562766470377,-18.622875214542447,-36.2296018785239,-76.15489793613715,4.589763858188522
18,2021-07-10 01:30:00,2.296594493752777,-4.184152329638422,-20.96897087044929,-28.76147071321468,-77.17671820313868,4.7729945512596395
19,2021-07-10 01:35:00,2.613511330631306,-4.452312554923315,-22.384260308574227,-30.412970982737594,-77.01241401579134,5.162705546713467
20,2021-07-10 01:40:00,2.3829173538013615,-4.444712320137967,-23.615970461750962,-28.196831222772776,-77.94555343392449,5.043189737044791
21,2021-07-10 01:45:00,1.8045343224481918,-2.8471524833856137,-23.84406053967641,-32.36665325886868,-81.95338504002969,3.370848763226025
22,2021-07-10 01:50:00,1.787937283104758,-2.4194729491110287,-23.501434708875085,-36.463585823790034,-82.70524544656264,3.008416374073915
23,2021-07-10 01:55:00,1.6856463156814043,-0.99804803515533,-21.269800179480903,-59.37080737685189,-84.73788740934556,1.9589546656438244
24,2021-07-10 02:00:00,1.1382971813327865,-2.2195588255699574,-17.198955593541946,-27.150946569559206,-81.74772822697281,2.4944261570941832
25,2021-07-10 02:05:00,1.122453109568876,-1.4100093535462932,-16.128485626051805,-38.52192029287899,-83.62410708046195,1.8022284428642432
26,2021-07-10 02:10:00,1.0745411212056595,-0.8648082111047364,-14.911464792597627,-51.17232213773693,-84.71513136334153,1.3793229727500698
27,2021-07-10 02:15:00,0.9889204830128571,-0.6016701744287065,-13.532997144714756,-58.683205703915625,-85.11099526050955,1.1575710434005564
28,2021-07-10 02:20:00,1.545899395083528,0.04976781768881988,-12.939605664963544,88.15608866891522,-83.18364723824814,1.546700286221324
29,2021-07-10 02:25:00,1.6216644312868322,-0.6241131520852257,-11.024650819115752,-68.95029976663083,-81.04318112241326,1.7376169757189301
30,2021-07-10 02:30:00,1.9186651196978004,-1.0889854612761152,-10.004783971627095,-60.42185942185015,-77.56465607538875,2.2061652649825962
31,2021-07-10 02:35:00,1.1159446370326758,-0.5113323949218813,-7.096996594900462,-65.38247029392262,-80.18705851119452,1.2275150716054517
32,2021-07-10 02:40:00,1.0649380480538388,-0.5380352512026367,-5.995099721676286,-63.19587080832304,-78.7441427111364,1.1931366131878631
33,2021-07-10 02:45:00,0.9526782032794281,-0.5563439368527061,-4.84218489840466,-59.71597459411608,-77.1649932838835,1.1032290492352381
34,2021-07-10 02:50:00,0.9156158850744469,-0.6970599609639865,-3.9353231597541556,-52.71791886859445,-73.70014167063603,1.1507584621369409
35,2021-07-10 02:55:00,0.7605204751502108,-0.7864581733234797,-3.701121971050399,-44.03942992338213,-73.53258853013179,1.0940328384056883
36,2021-07-10 03:00:00,0.9165205965277559,-0.8149884405324916,-3.4757530713951423,-48.355864812716746,-70.56394465295823,1.2264649045370912
37,2021-07-10 03:05:00,0.6208464956779374,-0.9743410129587555,-3.1016883529541985,-32.505136739885224,-69.57040742563272,1.1553314592484136
38,2021-07-10 03:10:00,0.9280051329121755,-1.1316852507454471,-1.757896906750825,-39.35245578146585,-50.22116159609075,1.463524866022484
39,2021-07-10 03:15:00,0.8254428142113289,-1.0717297516122386,-1.8027341991449792,-37.60334889956923,-53.11566959216621,1.352760326156836
