,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
0,2021-07-17 00:00:00,G05,25924854.993925348,-5961211.028845995,-1937458.4568355556,-141.2067392414977,327.3227433051342,-3143.159775297349,-4.813214763999e-05,23250617.612,G
1,2021-07-17 00:00:00,G12,22272177.719214838,-10624396.470507296,-9894330.305511698,1242.5559577265253,12.684150336116545,2868.8543639210384,-6.961662620596697e-05,25443241.505,G
2,2021-07-17 00:00:00,G13,19554453.377800316,8029849.226622784,16033744.770843113,1075.2003456635623,1757.900131111226,-2159.4119299776357,0.00015863691078263375,20214519.107,G
3,2021-07-17 00:00:00,G14,8177270.6858683955,13657472.33750003,21262976.011013504,-2638.4769202272732,584.1912639721165,635.0889370613897,4.568509757519e-05,21477463.077,G
4,2021-07-17 00:00:00,G15,17994038.660415605,-3526269.4858964626,18956788.867248215,1819.2772037060138,1702.6682087724018,-1348.4424606636833,-0.0001350352540612,20428965.771,G
5,2021-07-17 00:00:00,G17,11713871.119232114,22467045.847416896,8381281.167053551,-794.674457217819,-641.493431891882,2983.2669006376495,0.0004748785868287,22809495.95,G
6,2021-07-17 00:00:00,G19,17064046.312392976,20417591.508102816,-1501013.0416111709,-68.48779984559928,249.02832529762273,3201.5169037653695,2.723978832364e-05,23722677.821,G
7,2021-07-17 00:00:00,G20,22942210.11792972,1027677.6684530834,-13145802.908642508,-1444.0778988666884,906.9544620942107,-2481.1205177057213,0.0005201399326324,25083676.297,G
8,2021-07-17 00:00:00,G23,4686657.683393437,-16060483.662108902,20591802.438685276,2551.81202887517,-601.1464079009556,-1054.1817357209654,8.363462984562e-05,23629239.402,G
9,2021-07-17 00:00:00,G24,14711617.37361977,-15782287.081113422,14973788.321466696,-129.20422672760492,1986.3856462820147,2223.8609719038077,0.0001767654903233,22291585.052,G
10,2021-07-17 00:00:00,G30,3291567.262219132,22536191.27139306,13535079.037805317,-800.6250121867298,1553.5007133307922,-2427.633180235607,-0.0004515908658504,23605672.602,G
11,2021-07-17 00:05:00,G05,25866428.369780693,-5857668.227202593,-2878277.912015982,-247.97709593724062,363.65634022549665,-3127.983193494338,-4.813248870050317e-05,23434572.69,G
12,2021-07-17 00:05:00,G10,-7656078.838003824,-13379810.082255205,21771516.437673673,2629.7131070450073,-736.4243893940587,447.9976195733521,-0.0001634625409679213,25862320.666,G
13,2021-07-17 00:05:00,G12,22628997.20025819,-10620911.829964034,-9024499.791901106,1135.9209523029858,11.333974619732459,2929.103425198538,-6.961822919037884e-05,25221999.628,G
14,2021-07-17 00:05:00,G13,19874189.53724201,8544289.860029584,15370733.73145961,1055.5011478308602,1671.4415150961,-2259.943393386655,0.00015863841144889168,20261416.67,G
15,2021-07-17 00:05:00,G14,7383991.455928626,13840226.994912095,21433092.06364228,-2649.0555481708316,634.1028462032032,498.83455994569476,4.5682403197136e-05,21604862.071,G
16,2021-07-17 00:05:00,G15,18537448.599803064,-3024897.7239195965,18533864.217375807,1802.5799793845915,1639.5156570325357,-1470.5650754518554,-0.00013503446962201973,20385216.549,G
17,2021-07-17 00:05:00,G17,11462918.43502172,22264227.506181404,9268074.402017593,-878.6258826766657,-709.820166553548,2927.773626788801,0.00047488036034336843,22722091.949,G
18,2021-07-17 00:05:00,G19,17032845.145766616,20478419.37366799,-539438.6459441488,-140.18741188472774,156.94122626225814,3207.967085928417,2.7241288989897925e-05,23542439.119,G
19,2021-07-17 00:05:00,G20,22498458.53593059,1308579.9024646934,-13877175.166207245,-1513.4624115039965,966.0064231323679,-2393.916060274281,0.0005201398644202974,25280931.458,G
20,2021-07-17 00:05:00,G23,5444620.139148675,-16245841.945619334,20255874.64272005,2500.4231184056634,-634.0500554859428,-1184.9811225559445,8.363306096725944e-05,23547415.489,G
21,2021-07-17 00:05:00,G24,14675038.969368385,-15173855.19415856,15625899.768627731,-114.01549906895488,2069.2066676879135,2122.832975839707,0.00017676971947366325,22148063.61,G
22,2021-07-17 00:05:00,G30,3059080.286997767,22990923.366320834,12793965.297232632,-749.6586096641419,1477.2930300834946,-2512.339248093209,-0.0004515921959864013,23758908.674,G
23,2021-07-17 00:10:00,G05,25776281.218857937,-5742608.055515628,-3813658.2636863096,-352.622956022318,404.08096826514344,-3106.905874196164,-4.813282976101633e-05,23621607.641,G
24,2021-07-17 00:10:00,G10,-6866895.225193846,-13608507.709909294,21885301.601767924,2630.5208484551104,-788.0434636444035,310.43517121766774,-0.0001634648260733595,25704091.761,G
25,2021-07-17 00:10:00,G12,22953556.29573037,-10617119.800677069,-8137421.824489228,1027.5462221816902,14.745896329800885,2983.817079519042,-6.961983217479072e-05,25001827.33,G
26,2021-07-17 00:10:00,G13,20187228.80760277,9032574.553944346,14678218.966418069,1030.5501311289227,1583.5871745327693,-2356.072840520846,0.0001586399121151496,20317251.092,G
27,2021-07-17 00:10:00,G14,6588434.341068501,14037875.226840805,21562179.69074456,-2653.665105300483,683.4262921758591,361.6096862302648,4.5679708819081996e-05,21739293.587,G
28,2021-07-17 00:10:00,G15,19075059.645636406,-2542720.151077547,18074755.513351396,1780.613470094343,1574.76262240827,-1589.6310343275093,-0.00013503368518283945,20351658.056,G
29,2021-07-17 00:10:00,G17,11186542.396981725,22041646.705694154,10137402.90077762,-964.1089698139041,-773.2180556410239,2866.8562285713515,0.0004748821338580369,22643358.961,G
30,2021-07-17 00:10:00,G19,16979544.607609276,20512041.437755298,423158.8906727202,-215.77896082462783,67.70562708400374,3208.334447857601,2.724278965615585e-05,23366034.142,G
