,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation,TEC,iono_delay
0,2021-05-06 00:00:00,E03,18600116.8767783,-13414228.693178466,18713172.42472455,-629.1785774821769,1767.48479410716,1894.0246872647608,-0.0004277482512407,24886680.079,E,5.35337997889328,0.8692414096346124
1,2021-05-06 00:00:00,E09,2976356.973145591,25072359.43084268,15472830.374161033,-452.81050025864045,1482.7592485762548,-2315.693112232289,0.00567760510603,24889670.064,E,7.730154690737078,1.2551641367813058
2,2021-05-06 00:00:00,E36,25064844.23646824,4744852.509413471,-15024568.86790178,-1503.8653147222792,181.14813493169538,-2450.2176351755315,-0.0002031371113844,28378517.516,E,10.961927836671284,1.7799150522901817
3,2021-05-06 00:05:00,E03,18414724.68934669,-12873915.07117088,19268305.22432825,-606.1892966629744,1834.1663631157517,1806.4345438408466,-0.00042774949611157305,24804233.741,E,6.818633044318767,1.1071581360922018
4,2021-05-06 00:05:00,E09,2848797.1754871234,25508652.19341185,14767594.041490402,-397.9436556287951,1425.2399625024116,-2385.341208578213,0.0056776012818889965,25007138.998,E,10.31870909401346,1.6754740507592432
5,2021-05-06 00:05:00,E13,-6373003.003672482,-14990795.022817755,24716205.06980228,2422.439253901911,-544.1093300341261,295.56954482636837,0.0004159960366223181,28113051.637,E,14.084370077546234,2.286913641155885
6,2021-05-06 00:10:00,E03,18236744.303560987,-12314003.26784154,19796783.53904452,-579.7901580366777,1898.1054353251798,1716.3491725677266,-0.0004277508705854,24723887.444,E,8.46673422417866,1.3747643584134586
7,2021-05-06 00:10:00,E09,2737367.0827804664,25927139.3081433,14041955.165522529,-345.3143312249408,1364.0802948772248,-2451.6946017707332,0.005677597422618,25125188.931,E,13.425324006426507,2.1799027175650108
8,2021-05-06 00:10:00,E13,-5647203.156079598,-15163110.2615473,24787765.716044806,2415.423607911248,-604.5222503775094,181.44657344627478,0.0004159964155406,27989242.718,E,17.677973905436033,2.8704158900788244
9,2021-05-06 00:10:00,E36,24123450.424700506,4885518.083684799,-16451815.958291464,-1631.5894025528573,289.4588599178005,-2305.079156812116,-0.00020314018945553132,28738554.607,E,19.2237888435997,3.1214136449890613
10,2021-05-06 00:15:00,E03,18067176.754524313,-11735346.587610245,20297877.587276652,-550.129589098354,1959.0982589313035,1623.8933170897253,-0.00042775211545627306,24645632.374,E,10.270989221074757,1.6677256581952242
11,2021-05-06 00:15:00,E09,2641364.537043672,26326751.99184838,13296915.948741743,-295.1259255536436,1299.4374993846159,-2514.661728508067,0.005677593598476996,25243815.054,E,17.066090839082662,2.7710629390038832
12,2021-05-06 00:15:00,E13,-4924230.042571109,-15353412.54765685,24825048.269623253,2403.6002669649115,-663.9781343093591,67.07561524050038,0.0004159965690178309,27871202.658,E,21.44763472331308,3.482504943367588
13,2021-05-06 00:20:00,E03,17906976.71195086,-11138858.583650056,20770895.209692426,-517.3676726658884,2016.9508336799886,1529.195123567417,-0.0004277532570995,24569466.528,E,12.194999350827835,1.9801318920011022
14,2021-05-06 00:20:00,E09,2560028.1218997696,26706470.303900126,12533505.58430675,-247.57247518759368,1231.4808916236584,-2574.1554948694843,0.005677589855623,25363020.088,E,21.245486803767356,3.449681690911491
15,2021-05-06 00:20:00,E13,-4205518.123229522,-15561375.088427177,24828002.091245536,2387.027814419092,-722.2140814994323,-47.38530214559183,0.0004159967647865,27759240.624,E,25.24004409002225,4.098287734207569
16,2021-05-06 00:25:00,E03,17757049.19678642,-10525508.796044726,21215183.444841728,-481.6755556856201,2071.4789014763246,1432.3856568685871,-0.00042775450197037306,24495391.682,E,14.193831778919328,2.304687205516661
17,2021-05-06 00:25:00,E09,2492539.244125858,27065327.055490162,11752778.319927245,-202.83798403832782,1160.3908322228217,-2630.0937454418026,0.005677586031481996,25482808.45,E,25.85148823608528,4.197569416720706
18,2021-05-06 00:30:00,E03,17618246.243000835,-9896321.272423403,21630128.760331195,-443.23489828483855,2122.509335688871,1333.5990384670042,-0.0004277557018213,24423410.866,E,16.21570476227284,2.632983670382149
19,2021-05-06 00:30:00,E09,2438026.1624402786,27402410.499215603,10955812.804571372,-161.0957967621827,1086.3585660247522,-2682.399087833256,0.005677582172211,25603185.932,E,30.735548755293642,4.9906062770212705
20,2021-05-06 00:30:00,E13,-2786508.586721946,-16028584.470000004,24730957.96858962,2339.9477698854853,-833.9956444115528,-275.94427686332256,0.0004159970558248,27554713.836,E,32.9648372044983,5.35258129872885
21,2021-05-06 00:30:00,E24,11819290.542112581,23218538.997998666,14013304.395699026,-998.2789408655971,-997.5705581106888,2493.922787449298,-0.0008845094125718,25553099.043,E,19.574658434945118,3.1783851992933503
22,2021-05-06 00:30:00,E25,23969760.439649355,16623514.68525435,-5015094.934546942,447.38909750356856,254.06219545776872,2979.2539882962083,-0.0005329578330020014,26661633.59,E,25.192005552932784,4.090487599365457
23,2021-05-06 00:35:00,E03,17491363.980516538,-9252369.457542809,22015158.688165233,-402.2371157632491,2169.8799300299424,1232.9719383843726,-0.00042775694669217306,24353537.707,E,18.204105089253826,2.9558450981077025
24,2021-05-06 00:35:00,E09,2395566.3924601115,27716867.98678647,10143709.564778743,-122.5079483091986,1009.5850911228638,-2730.9992104316148,0.00567757834380674,25724164.064,E,35.77486546343005,5.808852464709467
25,2021-05-06 00:35:00,E24,11507890.172760105,22915508.80792472,14751599.573561564,-1077.7440408559023,-1021.8985482996248,2427.4766055786126,-0.0008845155473977805,25498695.855,E,22.022927164142473,3.5759165850202064
