,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-05-06 00:00:00,4642429.477677207,1028628.0407114617,4236854.374151357,6.254834999925087e-09,9.222125815745707e-08,11,8.596642315753198e-08
1,0,2021-05-06 00:05:00,4642430.617255623,1028629.3013350934,4236855.699225224,1.0564646913343e-08,9.088952269753411e-08,11,8.03248757841911e-08
2,0,2021-05-06 00:10:00,4642429.891570051,1028628.6408665096,4236855.15145018,7.47711753042901e-09,9.239730447127166e-08,11,8.492018694084265e-08
3,0,2021-05-06 00:15:00,4642430.216149141,1028628.6362261081,4236855.14034689,4.914996243446553e-09,8.770657290596177e-08,11,8.279157666251523e-08
4,0,2021-05-06 00:20:00,4642429.526718621,1028628.5436422635,4236856.364117113,4.7533834588504324e-09,8.806183748313854e-08,12,8.330845402428811e-08
5,0,2021-05-06 00:25:00,4642429.139771828,1028628.0830117223,4236855.589657559,7.462126865595327e-09,8.993640381178523e-08,10,8.24742769461899e-08
6,0,2021-05-06 00:30:00,4642429.6021048715,1028628.7114760908,4236855.050867173,5.5567942637961595e-09,7.8962125607525e-08,13,7.340533134372884e-08
7,0,2021-05-06 00:35:00,4642429.385488677,1028629.1603142661,4236854.366623624,2.7860923018535816e-09,7.626344898971457e-08,13,7.347735668786099e-08
8,0,2021-05-06 00:40:00,4642429.486510425,1028628.7005279303,4236855.196913695,2.3114447255537994e-09,7.427690287339257e-08,13,7.196545814783878e-08
9,0,2021-05-06 00:45:00,4642428.838985784,1028628.2230571774,4236853.892912048,-1.998480191701463e-09,6.819499582811627e-08,15,7.019347601981773e-08
10,0,2021-05-06 00:50:00,4642428.800977051,1028628.5491359056,4236853.944324925,-4.205932461216322e-10,6.801791237047626e-08,15,6.843850561659788e-08
11,0,2021-05-06 00:55:00,4642428.342433384,1028628.2599515816,4236853.322460603,-1.4052761280574388e-09,6.641009245143031e-08,16,6.781536857948774e-08
12,0,2021-05-06 01:00:00,4642427.37777246,1028628.3041216068,4236853.310596357,-2.545602965444784e-09,6.610127505922445e-08,18,6.864687802466923e-08
13,0,2021-05-06 01:05:00,4642427.49063932,1028628.1313801039,4236853.112752719,-3.75408563222393e-09,6.471694355774098e-08,19,6.847102918996492e-08
14,0,2021-05-06 01:10:00,4642426.120712344,1028628.234992907,4236852.697108385,-5.467221369319891e-09,6.343350824055748e-08,17,6.890072960987737e-08
15,0,2021-05-06 01:15:00,4642426.201041308,1028627.7353248929,4236853.339882174,-3.93675604750054e-09,6.555642207609936e-08,16,6.94931781235999e-08
16,0,2021-05-06 01:20:00,4642425.815719974,1028628.3486783588,4236851.255519338,-9.182705899985517e-09,5.787450588285867e-08,17,6.705721178284418e-08
17,0,2021-05-06 01:25:00,4642425.786287525,1028628.1897938323,4236851.543574441,-8.21911112336483e-09,5.94774067714173e-08,16,6.769651789478212e-08
18,0,2021-05-06 01:30:00,4642425.577707036,1028628.1520490958,4236851.111140262,-1.0122266231563202e-08,5.777968891658939e-08,17,6.790195514815259e-08
19,0,2021-05-06 01:35:00,4642425.534556256,1028627.8818373511,4236850.989292871,-1.081159317687354e-08,5.7682255296355975e-08,17,6.849384847322951e-08
20,0,2021-05-06 01:40:00,4642425.793448164,1028628.0214328736,4236851.314778829,-1.0844545512369056e-08,5.884212783938363e-08,17,6.968667335175268e-08
21,0,2021-05-06 01:45:00,4642425.00373193,1028627.8310859764,4236850.793265826,-1.2629548099291746e-08,5.8610706023190174e-08,17,7.124025412248192e-08
22,0,2021-05-06 01:50:00,4642426.299733572,1028628.1750687597,4236851.306280359,-1.0031523781154748e-08,6.36163898941292e-08,17,7.364791367528394e-08
23,0,2021-05-06 01:55:00,4642426.108838596,1028627.9912703257,4236851.163610004,-1.3068433499180121e-08,6.020016744209039e-08,17,7.326860094127051e-08
24,0,2021-05-06 02:00:00,4642427.040001504,1028627.910556613,4236851.113016122,-1.1200428158193501e-08,6.374815148093763e-08,14,7.494857963913113e-08
25,0,2021-05-06 02:05:00,4642426.916904765,1028627.6431722129,4236850.324288009,-1.0190142174474086e-08,6.757685226909911e-08,14,7.77669944435732e-08
26,0,2021-05-06 02:10:00,4642427.659243659,1028628.3266169268,4236851.308637918,-7.756242963839116e-09,7.144381799283977e-08,17,7.920006095667889e-08
27,0,2021-05-06 02:15:00,4642428.453956688,1028627.9300902104,4236851.981359974,-7.98982401873927e-09,7.254479720195872e-08,17,8.0534621220698e-08
28,0,2021-05-06 02:20:00,4642428.799991582,1028628.028685896,4236851.559514093,-7.08512839601933e-09,7.308091581856634e-08,17,8.016604421458566e-08
29,0,2021-05-06 02:25:00,4642428.416751204,1028627.7578655212,4236851.212002049,-6.809724207404284e-09,7.445463348587958e-08,16,8.126435769328387e-08
30,0,2021-05-06 02:30:00,4642429.311728886,1028628.0148565324,4236851.813856915,-6.156641764895682e-09,7.685831993617384e-08,18,8.301496170106953e-08
31,0,2021-05-06 02:35:00,4642429.328620204,1028627.6197606203,4236851.488882179,-6.336072203245926e-09,7.639135603256889e-08,17,8.272742823581481e-08
32,0,2021-05-06 02:40:00,4642429.417255525,1028627.9317788817,4236851.228708865,-7.212409701350415e-09,7.59702594519708e-08,16,8.318266915332121e-08
