,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat,dtr
0,0,2021-07-10 00:00:00,4642433.945962545,1028629.3036367361,4236854.502002178,5.927904542988276e-09,8.224388068122653e-08,14,7.631597613823825e-08
1,0,2021-07-10 00:05:00,4642434.404680163,1028629.3584970097,4236854.635861958,7.600819634832895e-09,8.305024041863663e-08,14,7.544942078380373e-08
2,0,2021-07-10 00:10:00,4642433.9179122,1028629.3409995676,4236854.5754062515,6.882777522281069e-09,7.925207018021399e-08,15,7.236929265793293e-08
3,0,2021-07-10 00:15:00,4642434.331586746,1028629.3824943319,4236854.535229735,8.380811584743698e-09,7.921818894370356e-08,15,7.083737735895986e-08
4,0,2021-07-10 00:20:00,4642433.483162498,1028629.4106170125,4236854.053399133,6.1725159212018605e-09,7.477342037956821e-08,15,6.860090445836635e-08
5,0,2021-07-10 00:25:00,4642433.648964977,1028629.6277355645,4236854.60969623,6.803970846049778e-09,7.199651695460282e-08,15,6.519254610855304e-08
6,0,2021-07-10 00:30:00,4642433.222629441,1028629.4292827875,4236853.571902509,4.663468256596347e-09,6.559176626732656e-08,15,6.092829801073021e-08
7,0,2021-07-10 00:35:00,4642432.703785286,1028629.3466399403,4236853.143324688,3.997071313664177e-09,6.05855876290983e-08,15,5.6588516315434126e-08
8,0,2021-07-10 00:40:00,4642431.8481471585,1028629.8807968606,4236853.645846222,3.526592130665374e-09,5.572798705672995e-08,16,5.220139492606458e-08
9,0,2021-07-10 00:45:00,4642431.49437965,1028629.8742792188,4236853.02233084,4.022471568226024e-09,5.079134535482779e-08,16,4.676887378660176e-08
10,0,2021-07-10 00:50:00,4642430.794138905,1028629.918228549,4236852.341156223,1.5493136620072233e-11,3.9066323405746895e-08,17,3.905083026912682e-08
11,0,2021-07-10 00:55:00,4642430.396528381,1028630.3086042894,4236851.627214543,-1.9603286518474384e-09,2.985897105417767e-08,17,3.1819299706025104e-08
12,0,2021-07-10 01:00:00,4642429.284498805,1028630.1887307371,4236850.7867967095,-6.401387782158935e-09,1.7655083089335508e-08,17,2.4056470871494443e-08
13,0,2021-07-10 01:05:00,4642428.476043752,1028630.1202238175,4236849.454876676,-6.551007684474163e-09,9.569999909435714e-09,17,1.6121007593909878e-08
14,0,2021-07-10 01:10:00,4642427.491584018,1028630.1678315181,4236848.005389538,-7.337617817567754e-09,-2.1967799168544946e-10,17,7.117939825882305e-09
15,0,2021-07-10 01:15:00,4642426.292137387,1028630.2336872336,4236846.732952609,-1.1877131813617085e-08,-1.1626462278400257e-08,17,2.5066953521682805e-10
16,0,2021-07-10 01:20:00,4642423.651935539,1028629.6240739346,4236842.62502127,-1.9616082778455537e-08,-3.045286158391149e-08,18,-1.0836778805455956e-08
17,0,2021-07-10 01:25:00,4642420.994191905,1028629.2894941537,4236838.867104033,-3.361313235199867e-08,-4.919890188954782e-08,16,-1.558576953754915e-08
18,0,2021-07-10 01:30:00,4642419.693232053,1028628.5750891616,4236836.941869885,-3.795922470439324e-08,-5.923602195165984e-08,16,-2.1276797247266596e-08
19,0,2021-07-10 01:35:00,4642418.770913456,1028628.6953329319,4236835.7972038975,-4.0192204758684856e-08,-6.615402731510202e-08,16,-2.596182255641716e-08
20,0,2021-07-10 01:40:00,4642417.920677045,1028628.2707585582,4236834.980395539,-4.358975765551191e-08,-7.285067653005616e-08,16,-2.9260918874544247e-08
21,0,2021-07-10 01:45:00,4642416.838527288,1028627.4385749717,4236836.017300466,-4.115991214031579e-08,-7.219443449962222e-08,16,-3.1034522359306426e-08
22,0,2021-07-10 01:50:00,4642416.812308421,1028627.4157660637,4236836.56444764,-3.9959720198672814e-08,-7.147321850434441e-08,16,-3.15134983056716e-08
23,0,2021-07-10 01:55:00,4642417.529639754,1028627.4699341764,4236839.112703215,-3.329362981832775e-08,-6.375404729508508e-08,17,-3.0460417476757325e-08
24,0,2021-07-10 02:00:00,4642421.402937094,1028627.7675212068,4236840.921698796,-2.7928014266007966e-08,-5.365986320999235e-08,15,-2.5731848943984384e-08
25,0,2021-07-10 02:05:00,4642421.656574329,1028627.8074915635,4236842.239119707,-2.4956669323943135e-08,-4.6259608369709744e-08,15,-2.130293904576661e-08
26,0,2021-07-10 02:10:00,4642422.195993903,1028627.8779373857,4236843.457620204,-2.3399360845747957e-08,-3.9295648370906235e-08,16,-1.5896287525158278e-08
27,0,2021-07-10 02:15:00,4642423.044790737,1028627.9783090905,4236844.57396022,-1.7599515276284257e-08,-2.7211779014413313e-08,16,-9.612263738129056e-09
28,0,2021-07-10 02:20:00,4642422.930865851,1028628.5235538261,4236845.455118386,-1.772598631905324e-08,-2.082437517369036e-08,15,-3.098388854637123e-09
29,0,2021-07-10 02:25:00,4642424.745524079,1028629.0032322673,4236846.232184712,-1.3478451753294377e-08,-9.568262941136255e-09,16,3.910188812158121e-09
30,0,2021-07-10 02:30:00,4642425.725544875,1028629.5245803747,4236846.567146575,-1.0303387121056867e-08,-1.10780653816111e-09,18,9.195580582895758e-09
31,0,2021-07-10 02:35:00,4642427.635882894,1028629.1256674561,4236848.938801652,-5.787389412950316e-09,1.39738628198231e-08,18,1.9761252232773417e-08
32,0,2021-07-10 02:40:00,4642428.465146216,1028629.2571646346,4236849.654708258,-2.7794126207532465e-09,2.4495971655074685e-08,18,2.7275384275827932e-08
33,0,2021-07-10 02:45:00,4642429.339265798,1028629.3358618481,4236850.410930298,-3.41231074484882e-09,3.206802239292251e-08,19,3.548033313777133e-08
34,0,2021-07-10 02:50:00,4642430.098096598,1028629.4660356706,4236850.911733075,-8.010160386187769e-10,4.1864834966481505e-08,19,4.2665851005100285e-08
35,0,2021-07-10 02:55:00,4642430.360138507,1028629.3652396892,4236851.001571995,-1.2289685230198676e-09,4.855148686710593e-08,18,4.97804553901258e-08
36,0,2021-07-10 03:00:00,4642430.508782019,1028629.5579583606,4236851.130822817,-1.231597436749344e-09,5.311089735370855e-08,19,5.43424947904579e-08
37,0,2021-07-10 03:05:00,4642430.948488066,1028629.3525395091,4236851.261981185,7.842201907955033e-11,5.970580942400994e-08,19,5.962738740493038e-08
38,0,2021-07-10 03:10:00,4642431.961241388,1028629.8915445069,4236852.0421628365,5.275137741187235e-10,6.620577336343567e-08,17,6.567825958931695e-08
39,0,2021-07-10 03:15:00,4642431.911755037,1028629.775530019,4236852.056853429,1.2191303127715072e-09,7.094426185536083e-08,16,6.972513154258932e-08
40,0,2021-07-10 03:20:00,4642431.818060479,1028629.1805219313,4236851.846574107,2.2315620105336847e-09,7.309700901000592e-08,17,7.086544699947223e-08
41,0,2021-07-10 03:25:00,4642431.6921590045,1028628.8597467856,4236852.358395214,-1.479243242616004e-09,7.247849132222378e-08,17,7.395773456483979e-08
42,0,2021-07-10 03:30:00,4642432.072784832,1028628.9479255892,4236852.478012117,4.971502823874499e-10,7.568886664850758e-08,16,7.519171636612012e-08
43,0,2021-07-10 03:35:00,4642432.469037612,1028629.1032584634,4236852.238151752,-2.374309368588635e-09,7.340362780378094e-08,17,7.577793717236958e-08
44,0,2021-07-10 03:40:00,4642432.937121924,1028628.8311434436,4236851.4950775,-8.932866058366255e-10,7.470024024643977e-08,16,7.55935268522764e-08
45,0,2021-07-10 03:45:00,4642433.281527746,1028629.2824078775,4236852.492766138,7.472747279924121e-10,7.748632458920737e-08,17,7.673904986121497e-08
46,0,2021-07-10 03:50:00,4642433.671739379,1028629.1035686709,4236852.936139937,1.4460953881074508e-09,7.858507167329564e-08,17,7.713897628518819e-08
47,0,2021-07-10 03:55:00,4642434.076768867,1028629.3343910725,4236853.237640302,4.082698568073097e-09,8.155044848968581e-08,16,7.746774992161271e-08
48,0,2021-07-10 04:00:00,4642434.511568951,1028629.6131489741,4236853.193120309,4.5559446909873454e-09,8.133320548500354e-08,16,7.677726079401619e-08
49,0,2021-07-10 04:05:00,4642434.808434664,1028629.7873193602,4236853.604131506,4.122527952615661e-09,8.192457034409648e-08,16,7.780204239148082e-08
50,0,2021-07-10 04:10:00,4642434.768852166,1028629.5540840063,4236853.733842269,2.5066752764457277e-09,8.00466753417854e-08,16,7.754000006533968e-08
51,0,2021-07-10 04:15:00,4642435.658334047,1028629.9940480029,4236854.40907101,5.1501198597902135e-09,8.218057064825187e-08,16,7.703045078846165e-08
52,0,2021-07-10 04:20:00,4642436.366713451,1028629.7874406332,4236854.25715472,4.495848547609546e-09,8.01694187296347e-08,15,7.567357018202515e-08
53,0,2021-07-10 04:25:00,4642438.113445701,1028630.506029663,4236855.632388493,9.55305392841033e-09,8.497580617858038e-08,14,7.542275225017006e-08
