,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat
0,0,2021-05-06 00:00:00,4642429.381638915,1028628.3175375888,4236854.334399451,6.164232409007915e-09,8.148829451437235e-08,11
1,0,2021-05-06 00:05:00,4642429.972799713,1028629.130027461,4236855.356998228,8.83416963033219e-09,8.199351440628828e-08,11
2,0,2021-05-06 00:10:00,4642429.595846776,1028628.4725451383,4236855.045379225,6.704193209370483e-09,8.149081832791618e-08,11
3,0,2021-05-06 00:15:00,4642430.052499782,1028628.4546276137,4236855.156903451,4.5416553668800626e-09,7.950416075588717e-08,11
4,0,2021-05-06 00:20:00,4642429.510880468,1028628.3852569226,4236856.50925384,4.848659461784828e-09,8.147274603550661e-08,12
5,0,2021-05-06 00:25:00,4642429.384867215,1028627.8681228113,4236856.128527742,8.5801134405553e-09,8.402672314185135e-08,10
6,0,2021-05-06 00:30:00,4642429.649572209,1028628.9664556299,4236855.4415137675,6.259610743673725e-09,7.631505979418211e-08,13
7,0,2021-05-06 00:35:00,4642430.017563913,1028629.2246704237,4236855.6548363,5.7052216010538595e-09,7.579701339303342e-08,12
8,0,2021-05-06 00:40:00,4642430.1996955,1028628.9781320667,4236855.761198018,4.458364339328994e-09,7.602659878617729e-08,13
9,0,2021-05-06 00:45:00,4642430.054447422,1028628.491456829,4236855.257471411,2.121736759901332e-09,7.277690472740594e-08,15
10,0,2021-05-06 00:50:00,4642430.08197431,1028628.7908540261,4236855.284824018,3.765760012993421e-09,7.424801146863495e-08,15
11,0,2021-05-06 00:55:00,4642429.449434915,1028628.4331165456,4236854.59757527,2.282275076980502e-09,7.338804608969957e-08,16
12,0,2021-05-06 01:00:00,4642428.6670344,1028628.752721202,4236854.608448945,1.5258716861283018e-09,7.468183577153322e-08,18
13,0,2021-05-06 01:05:00,4642428.551526688,1028628.647340891,4236854.199641685,-4.377500789727174e-10,7.281505525849907e-08,19
14,0,2021-05-06 01:10:00,4642427.581455034,1028628.5457652106,4236853.753192707,-1.4616757747242667e-09,7.234605717421793e-08,17
15,0,2021-05-06 01:15:00,4642427.182825979,1028628.4023744233,4236853.9611552525,-1.3240522546471349e-09,7.286454037692088e-08,16
16,0,2021-05-06 01:20:00,4642426.695953458,1028628.5119006089,4236852.456817604,-6.0452345533419205e-09,6.610153098635275e-08,17
17,0,2021-05-06 01:25:00,4642425.880351959,1028628.4888287942,4236852.376201693,-6.9713063441141435e-09,6.565787145073637e-08,16
18,0,2021-05-06 01:30:00,4642425.57738836,1028628.4427721923,4236851.917629482,-9.122054493385562e-09,6.307647355650727e-08,17
19,0,2021-05-06 01:35:00,4642424.97523941,1028628.3594769551,4236851.44791177,-1.1181819822916059e-08,6.048488669710491e-08,17
20,0,2021-05-06 01:40:00,4642425.466523101,1028628.3068182291,4236851.784187564,-1.0799510418643624e-08,6.114480138711973e-08,17
21,0,2021-05-06 01:45:00,4642424.722040596,1028628.1311308913,4236851.347989378,-1.2380454502754683e-08,5.999865771617522e-08,17
22,0,2021-05-06 01:50:00,4642425.997878369,1028628.194338844,4236851.773472384,-9.962176802603518e-09,6.227201094588937e-08,17
23,0,2021-05-06 01:55:00,4642425.620083707,1028628.0619700192,4236851.471826035,-1.3489988674257201e-08,5.7745999357839725e-08,17
24,0,2021-05-06 02:00:00,4642426.638079065,1028627.7039931815,4236850.915394259,-1.2165342974867155e-08,6.044177822461447e-08,14
25,0,2021-05-06 02:05:00,4642426.748872769,1028627.4428585625,4236850.445552783,-1.0341088207044602e-08,6.267145373909892e-08,14
26,0,2021-05-06 02:10:00,4642426.751192787,1028627.986238451,4236851.226567767,-9.408190111568323e-09,6.183759406557726e-08,17
27,0,2021-05-06 02:15:00,4642427.194020512,1028627.7729427351,4236851.410693201,-1.0852098767293342e-08,6.103485335456323e-08,17
28,0,2021-05-06 02:20:00,4642427.600020924,1028627.7743457668,4236851.235253027,-9.544239628756182e-09,6.144288461824094e-08,17
29,0,2021-05-06 02:25:00,4642427.410538236,1028627.3663510858,4236850.47698356,-9.626141444383054e-09,6.109754267398737e-08,16
30,0,2021-05-06 02:30:00,4642428.016492918,1028627.6979303653,4236851.373299335,-8.940110239633887e-09,6.207743716757507e-08,18
31,0,2021-05-06 02:35:00,4642428.204778479,1028627.2455094729,4236850.671100459,-9.462032152395274e-09,6.055213284227331e-08,17
32,0,2021-05-06 02:40:00,4642428.259119313,1028627.3349081184,4236850.356768837,-1.061501744551747e-08,5.9058926739135425e-08,16
33,0,2021-05-06 02:45:00,4642429.306703267,1028627.091084095,4236851.101709309,-5.446345350550623e-09,6.410976811349354e-08,17
34,0,2021-05-06 02:50:00,4642429.407609406,1028626.9247472546,4236850.727806031,-5.8698648338151225e-09,6.418089415685638e-08,17
35,0,2021-05-06 02:55:00,4642429.727686579,1028627.223230114,4236850.8577717105,-5.814866899809952e-09,6.46534275638885e-08,17
36,0,2021-05-06 03:00:00,4642429.94027124,1028627.1347311508,4236850.874906433,-5.691483908162053e-09,6.375194339867787e-08,16
37,0,2021-05-06 03:05:00,4642429.88394764,1028626.9028360243,4236850.391296412,-6.27275862560361e-09,6.215185607077583e-08,16
38,0,2021-05-06 03:10:00,4642429.304843126,1028627.2569524164,4236849.332067288,-1.548750973321284e-08,5.075439545295212e-08,14
39,0,2021-05-06 03:15:00,4642430.132599815,1028626.7798150228,4236849.43963533,-1.1999909333915423e-08,5.6571525976499355e-08,14
40,0,2021-05-06 03:20:00,4642431.850022627,1028627.4398389284,4236853.1289677415,-2.5489424032176685e-09,6.856295353505158e-08,17
41,0,2021-05-06 03:25:00,4642432.202126385,1028627.1288173214,4236852.9139530575,-1.2843024913065938e-10,6.976564673056511e-08,17
42,0,2021-05-06 03:30:00,4642432.888345115,1028627.4971826365,4236854.039442775,1.1348144685822517e-09,7.178596621567963e-08,17
43,0,2021-05-06 03:35:00,4642433.291999721,1028627.7850008177,4236855.112810986,6.4500835755727965e-09,7.661417798884299e-08,17
44,0,2021-05-06 03:40:00,4642434.019566831,1028628.4402427304,4236855.106231224,4.082509753181528e-09,7.468628544276192e-08,18
45,0,2021-05-06 03:45:00,4642434.772156905,1028628.1974181924,4236855.495333974,9.476747721318537e-09,8.122375225726838e-08,17
46,0,2021-05-06 03:50:00,4642435.716200376,1028628.7876405111,4236856.1079789605,7.697800061134487e-09,7.861585054231893e-08,16
47,0,2021-05-06 03:55:00,4642436.145215448,1028628.7880314379,4236856.32961035,1.0120990383967827e-08,8.143167410286317e-08,15
48,0,2021-05-06 04:00:00,4642436.118466767,1028628.5503024663,4236856.570576155,1.1542844094340646e-08,8.329591488617572e-08,16
49,0,2021-05-06 04:05:00,4642436.244244845,1028628.4220217079,4236856.6905582575,1.162091510105136e-08,8.424321946227421e-08,16
50,0,2021-05-06 04:10:00,4642436.010352744,1028628.3988623838,4236856.565012938,9.88543984937775e-09,8.268853095120962e-08,16
51,0,2021-05-06 04:15:00,4642436.035084696,1028629.2072048837,4236856.2152413055,7.291278250862849e-09,8.019692333221021e-08,17
52,0,2021-05-06 04:20:00,4642436.05095533,1028629.2535178573,4236856.238789283,8.396415999899693e-09,8.161157217197282e-08,16
53,0,2021-05-06 04:25:00,4642435.897469879,1028629.4428210526,4236856.355919482,7.508266762011693e-09,8.126955416539726e-08,16
54,0,2021-05-06 04:30:00,4642436.249541999,1028629.3993780975,4236856.645049262,6.312015435306496e-09,8.10303582499175e-08,17
55,0,2021-05-06 04:35:00,4642435.919780241,1028629.7344712185,4236856.341786809,1.114272715130724e-08,8.501961330847778e-08,17
56,0,2021-05-06 04:40:00,4642436.1259303745,1028629.8013275872,4236856.777318934,6.047692715827332e-09,7.977196080900654e-08,17
57,0,2021-05-06 04:45:00,4642436.469234017,1028629.9184991952,4236856.89189452,1.0886257693604306e-08,8.619328180516252e-08,17
58,0,2021-05-06 04:50:00,4642436.652050679,1028630.4423963218,4236857.45303101,1.0468778076595622e-08,8.53681727511687e-08,17
59,0,2021-05-06 04:55:00,4642436.528825354,1028630.5752151024,4236856.728862337,9.066144984948929e-09,8.404201008978328e-08,18
60,0,2021-05-06 05:00:00,4642435.924660807,1028630.4621334937,4236856.1065972,1.014657171904101e-08,8.481442145676229e-08,18
61,0,2021-05-06 05:05:00,4642436.059811701,1028630.7790354118,4236856.521101061,8.165178061907633e-09,8.36020089204727e-08,18
62,0,2021-05-06 05:10:00,4642436.0067660175,1028630.7342779379,4236856.40824912,8.593152362803998e-09,8.351761109221793e-08,18
63,0,2021-05-06 05:15:00,4642435.846710377,1028631.1409030304,4236856.498091218,7.244038214877929e-09,8.223761966540437e-08,19
64,0,2021-05-06 05:20:00,4642434.421588975,1028631.1280199168,4236854.917502639,3.659974162442389e-09,7.836137981777375e-08,17
65,0,2021-05-06 05:25:00,4642435.16183394,1028631.2867116565,4236855.55864488,2.832821157429359e-09,7.837185949183222e-08,17
66,0,2021-05-06 05:30:00,4642436.000539392,1028631.3683737761,4236856.591760905,4.195473375953696e-09,7.987116042541847e-08,19
67,0,2021-05-06 05:35:00,4642435.795795005,1028631.2844739628,4236856.625655319,2.0456549898284187e-09,7.861997211145959e-08,19
68,0,2021-05-06 05:40:00,4642435.330575103,1028631.4915847498,4236856.248171745,2.701372784988921e-09,7.85300795199819e-08,19
69,0,2021-05-06 05:45:00,4642435.334065077,1028631.8403778956,4236856.1504710475,4.851888764158076e-09,8.078518812320334e-08,17
70,0,2021-05-06 05:50:00,4642433.785178945,1028632.0817041674,4236855.110421016,2.64764530963134e-10,7.389755166714447e-08,17
71,0,2021-05-06 05:55:00,4642432.97448519,1028631.7401826235,4236854.379232734,3.921511133978582e-09,7.7134873174914e-08,17
72,0,2021-05-06 06:00:00,4642434.130645275,1028631.5933520817,4236854.811474054,3.094536234166513e-10,7.493645729574828e-08,17
73,0,2021-05-06 06:05:00,4642433.855671434,1028631.7678646753,4236855.039830164,4.845861500308851e-10,7.565238335345587e-08,17
74,0,2021-05-06 06:10:00,4642433.323140567,1028631.5973185214,4236854.187141635,-8.960017272349518e-10,7.333376720897935e-08,17
75,0,2021-05-06 06:15:00,4642433.718281676,1028631.9423742102,4236854.184591574,2.2423072413860995e-09,7.616236218476798e-08,17
76,0,2021-05-06 06:20:00,4642431.494163029,1028631.5990575583,4236851.001535959,-6.101930312264888e-09,6.511126606102085e-08,15
